filename,notes,authors,licenses,urls
"body/bodies/skeleton/thrust/skeleton.png","","bluecarrot16, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-skeleton, https://opengameart.org/content/lpc-character-bases"
"head/heads/skeleton/adult/thrust/skeleton.png","","bluecarrot16, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-skeleton, https://opengameart.org/content/lpc-character-bases"
"weapon/sword/saber/thrust/saber.png","","Daniel Eddeland (daneeklu), Johannes Sjölund (wulax), gr3yh47, bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-extended-weapon-animations"
